Category,img,title,datetime,body,keywords
Aviation,/images/6341997-696x412.jpg,Sale of AISREW electronic warfare aircraft to Italy approved,16-Dec-20,"The U.S. State Department recently approved the potential sale to Italy of two Gulfstream G550 Aircraft with Airborne Intelligence, Surveillance, Reconnaissance, and Electronic Warfare...","Sale,of,AISREW,electronic,warfare,aircraft,to,Italy,approved"
Army,/images/4291621-696x461.jpg,U.S. military signs joint defense research pact with Hanwha,16-Dec-20,"On Tuesday, South Korean defense contractor Hanwha has announced that it signed a major agreement with the U.S. military on collaborative research and development of key defense...","U.S.,military,signs,joint,defense,research,pact,with,Hanwha"
Army,/images/6318885-696x446.jpg,"U.S. Army still relies on carbon-based fuels, report says",15-Dec-20,"The U.S. Army still relies on carbon-based fuels, which will likely remain the primary fuel, according to a report released by Dr. David J....","U.S.,Army,still,relies,on,carbon-based,fuels,,report,says"
Maritime Security,/images/51OLPE8ZveL._AC_SL1001_-696x387.jpg,U.S. Marines show off expeditionary capabilities at San Clemente Island,15-Dec-20,"U.S. Marine Corps highlights its expeditionary capabilities during training on San Clemente Island, the southernmost of the Channel Islands of California.","U.S.,Marines,show,off,expeditionary,capabilities,at,San,Clemente,Island"
Maritime Security,/images/6341997-696x412.jpg,U.S. Navy P-8A Poseidons conducts snow flight ops in Japan,14-Dec-20,"With the start of winter, the “Fighting Tigers” of Patrol Squadron (VP) 8, currently deployed to Naval Air Facility Misawa, Japan, scrutinizes inclement weather...","U.S.,Navy,P-8A,Poseidons,conducts,snow,flight,ops,in,Japan"
Aviation,/images/59eedc51bb068d0d3a45156a82309117d55bc298-696x388.jpg,U.S. Air Force says first space test fundamentals course begins in January,14-Dec-20,"According to a press release issued last week by U.S. Air Force Test Cente, the Test Pilot School convenes the first-ever Space Test Fundamentals...","U.S.,Air,Force,says,first,space,test,fundamentals,course,begins,in,January"
Aviation,/images/VICTA_16-Dec-2020_credit-Subsea-Craft-696x358.jpg,Freezing rain could cause big problems for Ukrainian Air Force,14-Dec-20,"An ice storm sweeping across Eastern Europe, bringing freezing rain, sleet and snow could cause big problems for the Ukrainian Air Force.","Freezing,rain,could,cause,big,problems,for,Ukrainian,Air,Force"
Army,/images/127174971_2809090552667016_1620784549603333903_o-696x464.jpg,Leaked photo of Russian high-powered laser weapon hit the Internet,14-Dec-20,"Images of a new Russian mobile, high-power laser weapon system have appeared on social media. Leaked images shared on social media this morning are currently.","Leaked,photo,of,Russian,high-powered,laser,weapon,hit,the,Internet"
Aviation,/images/4291621-696x461.jpg,"Northrop Grumman secures $15M contract for Iraqi Cessna 208, 172 fleet support",22-Dec-20,"American aircraft's maker Northrop Grumman has received a contract valued at as much as $15,1 million for contractor logistic support for the Iraqi Air...","Northrop,Grumman,secures,$15M,contract,for,Iraqi,Cessna,208,,172,fleet,support"
Aviation,/images/127174971_2809090552667016_1620784549603333903_o-696x464.jpg,U.S. Air Force awards contract to Volansi for Skyborg,22-Dec-20,"Voly Defense Solutions LLC (Volansi), a Concord-based aerospace firm, was awarded a contract from the U.S. Air Force for Skyborg Vanguard Program.","U.S.,Air,Force,awards,contract,to,Volansi,for,Skyborg"
Army,/images/6318885-696x446.jpg,Russia deploys troops to Central African Republic,21-Dec-20,"Western media outlets say Russia has been deploying troops to Central African Republic to support Russian state-sponsored private military contractors, or PMCs, operating there.","Russia,deploys,troops,to,Central,African,Republic"
Aviation,/images/Hypersonics-Testing-by-the-Numbers-masthead-696x468.jpg,Boeing’s unmanned combat aircraft completes key taxi test,21-Dec-20,"Boeing's Australia division, based in Brisbane, has announced on Mandy that pre-production unmanned teaming aircraft, called the Loyal Wingman, completed the first high-speed taxi...","Boeing’s,unmanned,combat,aircraft,completes,key,taxi,test"
Aviation,/images/1981118-696x464.jpg,Boeing on course to overtake Russia as Indian biggest weapons supplier,21-Dec-20,American aerospace giant Boeing is on track to overtake Russian defense companies as the Indian biggest weapons supplier as the Indian Navy has expressed...,"Boeing,on,course,to,overtake,Russia,as,Indian,biggest,weapons,supplier"
Army,/images/m3-2-696x464.jpg,Bell shows V-280 Valor new capabilities,21-Dec-20,"The Textron division Bell Textron Inc., showed off what the V-280 Valor tilt-rotor high-speed aircraft can do, being developed as part of the Army’s...","Bell,shows,V-280,Valor,new,capabilities"
Army,/images/4291621-696x461.jpg,U.S. Army ramps up M109A7 Paladin production,21-Dec-20,The U.S. Army is ramping up production of its new M109A7 Paladin self-propelled howitzer while providing increased commonality within the U.S. Army Armored Brigade...,"U.S.,Army,ramps,up,M109A7,Paladin,production"
Aviation,/images/2389564-696x476.jpg,U.S. Air Force conducts sixth hypersonic strike weapon flight test,20-Dec-20,"On Sunday, Pentagon’s No.1 weapons supplier Lockheed Martin Corp. has announced that the U.S. Air Force B-52H aircraft conducted a new captive-carry flight test...","U.S.,Air,Force,conducts,sixth,hypersonic,strike,weapon,flight,test"
Aviation,/images/127174971_2809090552667016_1620784549603333903_o-696x464.jpg,U.S. Air Force for the first time flew AI as aircrew member,17-Dec-20,"For the first time, an artificial intelligence, or also known as AI, controlled the sensor and navigation systems of a real military aircraft during...","U.S.,Air,Force,for,the,first,time,flew,AI,as,aircrew,member"
Army,/images/6341997-696x412.jpg,South Korea becomes world’s tenth largest arms exporter,17-Dec-20,"South Korea is becoming a top arms dealer, joining the ranks of the U.S., Russia, Germany and France, according to an annual government report...","South,Korea,becomes,world’s,tenth,largest,arms,exporter"
Maritime Security,/images/WBD4NZwQ4-1-696x440.jpg,South Korea set to order MH-60R SeaHawk helicopters,17-Dec-20,"On Tuesday, the South Korean Defense Acquisition and Program Administration (DAPA) has reported that the MH-60R SeaHawk helicopter was chosen as the winner of...","South,Korea,set,to,order,MH-60R,SeaHawk,helicopters"
Maritime Security,/images/190507-n-qk571b-696x391.jpg,Subsea Craft and BAR Technologies partners to build futuristic hybrid submarine,17-Dec-20,BAR Technologies that it has partnered with British company SubSea Craft Ltd in the design and build of VICTA - the world’s most advanced diver...,"Subsea,Craft,and,BAR,Technologies,partners,to,build,futuristic,hybrid,submarine"
Army,/images/6318885-696x446.jpg,Russia deploys new Avangard nuclear boost-glide vehicle into ‘combat duty’,16-Dec-20,"On Wednesday, the Ministry of Defense of the Russian Federation has reported that a next hypersonic missile system outfitted with the Avangard nuclear boost-glide...","Russia,deploys,new,Avangard,nuclear,boost-glide,vehicle,into,‘combat,duty’"
Aviation,/images/1981118-696x464.jpg,Sale of AISREW electronic warfare aircraft to Italy approved,16-Dec-20,"The U.S. State Department recently approved the potential sale to Italy of two Gulfstream G550 Aircraft with Airborne Intelligence, Surveillance, Reconnaissance, and Electronic Warfare...","Sale,of,AISREW,electronic,warfare,aircraft,to,Italy,approved"
Army,/images/2020_tlyn_077_a_014_042_une-696x429.jpg,U.S. military signs joint defense research pact with Hanwha,16-Dec-20,"On Tuesday, South Korean defense contractor Hanwha has announced that it signed a major agreement with the U.S. military on collaborative research and development of key defense...","U.S.,military,signs,joint,defense,research,pact,with,Hanwha"
Army,/images/Eo1QpBkXYAEQjps-696x392.jpg,"U.S. Army still relies on carbon-based fuels, report says",15-Dec-20,"The U.S. Army still relies on carbon-based fuels, which will likely remain the primary fuel, according to a report released by Dr. David J....","U.S.,Army,still,relies,on,carbon-based,fuels,,report,says"
Maritime Security,/images/VICTA_16-Dec-2020_credit-Subsea-Craft-696x358.jpg,U.S. Marines show off expeditionary capabilities at San Clemente Island,15-Dec-20,"U.S. Marine Corps highlights its expeditionary capabilities during training on San Clemente Island, the southernmost of the Channel Islands of California.","U.S.,Marines,show,off,expeditionary,capabilities,at,San,Clemente,Island"
Maritime Security,/images/190507-n-qk571b-696x391.jpg,U.S. Navy P-8A Poseidons conducts snow flight ops in Japan,14-Dec-20,"With the start of winter, the “Fighting Tigers” of Patrol Squadron (VP) 8, currently deployed to Naval Air Facility Misawa, Japan, scrutinizes inclement weather...","U.S.,Navy,P-8A,Poseidons,conducts,snow,flight,ops,in,Japan"
Aviation,/images/Eo1QpBkXYAEQjps-696x392.jpg,U.S. Air Force says first space test fundamentals course begins in January,14-Dec-20,"According to a press release issued last week by U.S. Air Force Test Cente, the Test Pilot School convenes the first-ever Space Test Fundamentals...","U.S.,Air,Force,says,first,space,test,fundamentals,course,begins,in,January"
Aviation,/images/306894-696x462.jpg,Freezing rain could cause big problems for Ukrainian Air Force,14-Dec-20,"An ice storm sweeping across Eastern Europe, bringing freezing rain, sleet and snow could cause big problems for the Ukrainian Air Force.","Freezing,rain,could,cause,big,problems,for,Ukrainian,Air,Force"
Army,/images/mQL9q-STGE4-696x464.jpg,Leaked photo of Russian high-powered laser weapon hit the Internet,14-Dec-20,"Images of a new Russian mobile, high-power laser weapon system have appeared on social media. Leaked images shared on social media this morning are currently.","Leaked,photo,of,Russian,high-powered,laser,weapon,hit,the,Internet"
Army,/images/51OLPE8ZveL._AC_SL1001_-696x387.jpg,Ukrainian Army receives 40 Kozak-2 light armored vehicles,13-Dec-20,The Ukrainian Army received its next batch of 40 Kozak-2 4×4 light armored vehicles on 12 December.,"Ukrainian,Army,receives,40,Kozak-2,light,armored,vehicles"
Aviation,/images/Space_Rider_1100_ESA-696x455.jpg,Saudi Arabia receives final F-15SA advanced fighter aircraft,13-Dec-20,The U.S. Air Force Life Cycle Management Center has announced that Saudi Arabia has received into service its final F-15SA advanced fighter aircraft.,"Saudi,Arabia,receives,final,F-15SA,advanced,fighter,aircraft"
Aviation,/images/Eo1QpBkXYAEQjps-696x392.jpg,South Korean Light Armed Helicopter cleared for active combat,13-Dec-20,"South Korea's Defense Acquisition Program Administration (DAPA) has reported that the new Light Armed Helicopter, commonly known as LAH, has been initially declared fit...","South,Korean,Light,Armed,Helicopter,cleared,for,active,combat"
Maritime Security,/images/6434847-696x446.jpg,Subsea Craft and BAR Technologies partners to build futuristic hybrid submarine,17-Dec-20,BAR Technologies that it has partnered with British company SubSea Craft Ltd in the design and build of VICTA - the world’s most advanced diver...,"Subsea,Craft,and,BAR,Technologies,partners,to,build,futuristic,hybrid,submarine"
Army,/images/GMD-ISV-Selects-09-696x463.jpg,Russia deploys new Avangard nuclear boost-glide vehicle into ‘combat duty’,16-Dec-20,"On Wednesday, the Ministry of Defense of the Russian Federation has reported that a next hypersonic missile system outfitted with the Avangard nuclear boost-glide...","Russia,deploys,new,Avangard,nuclear,boost-glide,vehicle,into,‘combat,duty’"
Aviation,/images/EongSnUW8AABvRW-696x522.jpg,Sale of AISREW electronic warfare aircraft to Italy approved,16-Dec-20,"The U.S. State Department recently approved the potential sale to Italy of two Gulfstream G550 Aircraft with Airborne Intelligence, Surveillance, Reconnaissance, and Electronic Warfare...","Sale,of,AISREW,electronic,warfare,aircraft,to,Italy,approved"
Army,/images/306894-696x462.jpg,U.S. military signs joint defense research pact with Hanwha,16-Dec-20,"On Tuesday, South Korean defense contractor Hanwha has announced that it signed a major agreement with the U.S. military on collaborative research and development of key defense...","U.S.,military,signs,joint,defense,research,pact,with,Hanwha"
Army,/images/5685413-696x482.jpg,"U.S. Army still relies on carbon-based fuels, report says",15-Dec-20,"The U.S. Army still relies on carbon-based fuels, which will likely remain the primary fuel, according to a report released by Dr. David J....","U.S.,Army,still,relies,on,carbon-based,fuels,,report,says"
Maritime Security,/images/2020_tlyn_077_a_014_042_une-696x429.jpg,U.S. Marines show off expeditionary capabilities at San Clemente Island,15-Dec-20,"U.S. Marine Corps highlights its expeditionary capabilities during training on San Clemente Island, the southernmost of the Channel Islands of California.","U.S.,Marines,show,off,expeditionary,capabilities,at,San,Clemente,Island"
Maritime Security,/images/84726205_749440082250850_2527665356948897792_o-696x392.jpg,U.S. Navy P-8A Poseidons conducts snow flight ops in Japan,14-Dec-20,"With the start of winter, the “Fighting Tigers” of Patrol Squadron (VP) 8, currently deployed to Naval Air Facility Misawa, Japan, scrutinizes inclement weather...","U.S.,Navy,P-8A,Poseidons,conducts,snow,flight,ops,in,Japan"
Aviation,/images/6434847-696x446.jpg,U.S. Air Force says first space test fundamentals course begins in January,14-Dec-20,"According to a press release issued last week by U.S. Air Force Test Cente, the Test Pilot School convenes the first-ever Space Test Fundamentals...","U.S.,Air,Force,says,first,space,test,fundamentals,course,begins,in,January"
Aviation,/images/1981118-696x464.jpg,Freezing rain could cause big problems for Ukrainian Air Force,14-Dec-20,"An ice storm sweeping across Eastern Europe, bringing freezing rain, sleet and snow could cause big problems for the Ukrainian Air Force.","Freezing,rain,could,cause,big,problems,for,Ukrainian,Air,Force"
Army,/images/Hypersonics-Testing-by-the-Numbers-masthead-696x468.jpg,Leaked photo of Russian high-powered laser weapon hit the Internet,14-Dec-20,"Images of a new Russian mobile, high-power laser weapon system have appeared on social media. Leaked images shared on social media this morning are currently.","Leaked,photo,of,Russian,high-powered,laser,weapon,hit,the,Internet"
Army,/images/Eo1QpBkXYAEQjps-696x392.jpg,Ukrainian Army receives 40 Kozak-2 light armored vehicles,13-Dec-20,The Ukrainian Army received its next batch of 40 Kozak-2 4×4 light armored vehicles on 12 December.,"Ukrainian,Army,receives,40,Kozak-2,light,armored,vehicles"
Aviation,/images/5685413-696x482.jpg,Saudi Arabia receives final F-15SA advanced fighter aircraft,13-Dec-20,The U.S. Air Force Life Cycle Management Center has announced that Saudi Arabia has received into service its final F-15SA advanced fighter aircraft.,"Saudi,Arabia,receives,final,F-15SA,advanced,fighter,aircraft"
Aviation,/images/IMG_3928-3-696x438.jpg,South Korean Light Armed Helicopter cleared for active combat,13-Dec-20,"South Korea's Defense Acquisition Program Administration (DAPA) has reported that the new Light Armed Helicopter, commonly known as LAH, has been initially declared fit...","South,Korean,Light,Armed,Helicopter,cleared,for,active,combat"
Army,/images/IMG_1483-696x464.jpg,U.S. Army to begin testing light tank prototypes,13-Dec-20,"The U.S. Army has announced that a new light tank for the U.S. infantry hits the next phase of evaluation, following initial tests in...","U.S.,Army,to,begin,testing,light,tank,prototypes"
Army,/images/51OLPE8ZveL._AC_SL1001_-696x387.jpg,"U.S. Army Paratroopers conducts airborne training in extremely cold, austere environment",13-Dec-20,U.S. Army Paratroopers conducting airborne training on snow- and ice-covered ranges north of the Arctic Circle.,"U.S.,Army,Paratroopers,conducts,airborne,training,in,extremely,cold,,austere,environment"
Army,/images/Mineral-ME-696x459.jpg,Saab secures $248 million contract for integrated ground based air defense solution for Sweden,13-Dec-20,Defense and security company Saab was awarded a contract from the Swedish Defence Materiel Administration for an integrated sensor and command and control system...,"Saab,secures,$248,million,contract,for,integrated,ground,based,air,defense,solution,for,Sweden"
News,/images/EongSnUW8AABvRW-696x522.jpg,European Space Agency awards contract for new reusable spaceplane,13-Dec-20,Aerospace and logistics company Thales and the European Space Agency (ESA) has announced on Friday an agreement worth about $202.3 million (167 million euros)...,"European,Space,Agency,awards,contract,for,new,reusable,spaceplane"
Maritime Security,/images/mQL9q-STGE4-696x464.jpg,Russia releases video of Bulava ballistic missiles test,13-Dec-20,The Russian Defense Ministry on Saturday has released a short video of the recently Bulava submarine-launched ballistic missiles test.,"Russia,releases,video,of,Bulava,ballistic,missiles,test"
Aviation,/images/GMD-ISV-Selects-09-696x463.jpg,U.S. Air Force uses Russian-made air defense systems as simulated foreign targets,13-Dec-20,"The U.S. Air Force has publicly released new photos showed Russian-made surface-to-air missile systems used during Emerald Flag, Eglin’s first native multi-domain test exercise.","U.S.,Air,Force,uses,Russian-made,air,defense,systems,as,simulated,foreign,targets"
Army,/images/3199513_original-696x522.jpg,U.S. Army finished operational testing of a new heavy assault bridge,12-Dec-20,The U.S. Army has announced that 1st Infantry Division Soldiers here recently finished operational testing of a new heavy assault bridge designed to cross...,"U.S.,Army,finished,operational,testing,of,a,new,heavy,assault,bridge"
Maritime Security,/images/306894-696x462.jpg,Russian deadly nuclear submarine launches four Bulava ballistic missiles,12-Dec-20,"The Russian nuclear-powered ballistic missile submarine (SSBN) Vladimir Monomakh has launched four Bulava intercontinental-range ballistic missiles for the first time, Russia’s Defense Ministry reported...","Russian,deadly,nuclear,submarine,launches,four,Bulava,ballistic,missiles"
Aviation,/images/mQL9q-STGE4-696x464.jpg,Russian fighter jet intercept U.S. Air Force spy plane over Bering Sea,12-Dec-20,"The Russian Air Force scrambled MiG-31 jet fighter to intercept a U.S. Air Force RC-135 spy plane over the Bering Sea on Friday, the...","Russian,fighter,jet,intercept,U.S.,Air,Force,spy,plane,over,Bering,Sea"
Army,/images/3199513_original-696x522.jpg,UkrOboronProm receives Ukrainian Army order for 75 BTR-4 combat vehicles,11-Dec-20,"On Friday, General Director at Ukroboronprom State Concern Yuriy V Gusev said that the Ukrainian Army is purchasing a new tranche of 75 BTR-4E infantry fighting vehicles...","UkrOboronProm,receives,Ukrainian,Army,order,for,75,BTR-4,combat,vehicles"
Army,/images/m3-2-696x464.jpg,"German Army receives 20,000 next-generation combat helmets",11-Dec-20,German industrial group Rheinmetall has announced that Baltskin Viper helmet solution has been chosen as the next Specialised Forces Helmet (Helm SpezKr schwer; Specialised...,"German,Army,receives,20,000,next-generation,combat,helmets"
Maritime Security,/images/EongSnUW8AABvRW-696x522.jpg,BAE Systems awarded $184 million for ACV full-rate production,11-Dec-20,The U.S. Department of Defense and BAE Systems announced on Thursday an agreement worth about $184 million for full-rate production of long-awaited Amphibious Combat...,"BAE,Systems,awarded,$184,million,for,ACV,full-rate,production"
Maritime Security,/images/84726205_749440082250850_2527665356948897792_o-696x392.jpg,U.S. Navy completes two flight tests with the newest Tomahawk cruise missile variant,11-Dec-20,"Raytheon Co., one of the world's largest defense contractors, has announced that the guided-missile destroyer USS Chafee (DDG 90) launches a newest cruise missile...","U.S.,Navy,completes,two,flight,tests,with,the,newest,Tomahawk,cruise,missile,variant"
Maritime Security,/images/IMG_1483-696x464.jpg,U.S. Navy awards contract to Kratos for additional BQM-177A target drones,11-Dec-20,The U.S. Navy has awarded the target drone builder Kratos a contract modification for Full Rate Production (Lot 2) of the BQM-177A subsonic aerial...,"U.S.,Navy,awards,contract,to,Kratos,for,additional,BQM-177A,target,drones"
Aviation,/images/EongSnUW8AABvRW-696x522.jpg,U.S. Air Force to retire 17 of the oldest B-1 bombers in 2021,11-Dec-20,American plane-maker Boeing has confirmed in a recent company news release that the U.S. Air Force plans to retire 17 of the oldest B-1...,"U.S.,Air,Force,to,retire,17,of,the,oldest,B-1,bombers,in,2021"
Aviation,/images/5685413-696x482.jpg,Microsoft HoloLens helping Russian engineers build Su-57 fighter jet,10-Dec-20,"Sukhoi Company holding company, which incorporates leading Russian design bureaus and serial aircraft production plants, is using mixed reality headsets to assist workers during...","Microsoft,HoloLens,helping,Russian,engineers,build,Su-57,fighter,jet"
Aviation,/images/IMG_1483-696x464.jpg,Boeing shares new details about recently performed B-1B external weapons carry demonstration,10-Dec-20,A recent Boeing news release has offered new details about the demonstration of the B-1B’s external weapons carriage capabilities.,"Boeing,shares,new,details,about,recently,performed,B-1B,external,weapons,carry,demonstration"
Aviation,/images/IMG_3928-3-696x438.jpg,Boeing delivers 14th CH-47 Chinook built for Royal Netherlands Air Force,10-Dec-20,"The Royal Netherlands Air Force (RNLAF) has taken delivery of its 14th CH-47F Chinook helicopter from Boeing, according to a recent service news release.","Boeing,delivers,14th,CH-47,Chinook,built,for,Royal,Netherlands,Air,Force"
Army,/images/3199513_original-696x522.jpg,U.S. military receives first upgraded Boeing’s compact lasers,10-Dec-20,Aerospace giant Boeing has announced that it has upgraded and delivered the first batch of previously deployed Compact Laser Weapon System (CLWS) units to...,"U.S.,military,receives,first,upgraded,Boeing’s,compact,lasers"
Aviation,/images/51OLPE8ZveL._AC_SL1001_-696x387.jpg,U.S. Navy tanker-drone take off for the first time with an aerial refueling pod,10-Dec-20,"American plane-maker Boeing has reached a major milestone when its MQ-25 carrier-based tanker drone test article, also known as T1, completed the first test...","U.S.,Navy,tanker-drone,take,off,for,the,first,time,with,an,aerial,refueling,pod"
Aviation,/images/3199513_original-696x522.jpg,BAE Systems receives $60 million for Long Range Anti-Ship Missile seekers,8-Dec-20,"BAE Systems, a global leader in electronic warfare, has announced that it was awarded a contract from Lockheed Martin Corp. to produce seekers for...","BAE,Systems,receives,$60,million,for,Long,Range,Anti-Ship,Missile,seekers"
Army,/images/GMD-ISV-Selects-09-696x463.jpg,India to receive innovative Fire Control Systems from Smart Shooter,8-Dec-20,Israeli-based Smart Shooter company has announced that it was awarded a contract by the Indian Ministry of Defence for the supply of its SMASH...,"India,to,receive,innovative,Fire,Control,Systems,from,Smart,Shooter"
